################################################################################
#  SCENE: FICUS
#  Generated: 2025-12-15 04:05:35
#  Completed experiments: 41
################################################################################

================================================================================
  TEST METRICS
================================================================================
Method       Name                                    PSNR     SSIM         L1   #Img
cat          dec2ftest_cat1_1_levels                39.03   0.9952   0.002865    100
cat          dec2ftest_cat2_2_levels                38.55   0.9948   0.003095    100
cat          dec2ftest_cat3_3_levels                38.26   0.9945   0.003233    100
cat          dec2ftest_cat4_4_levels                38.70   0.9947   0.003000    100
cat          dec2ftest_cat5_5_levels                38.62   0.9944   0.003028    100
cat          dec2ftest_cat6_6_levels                38.44   0.9939   0.003077    100
cat          exp1_cat0_0_levels                     38.57   0.9948   0.003023    100
cat          exp1_cat1_1_levels                     39.58   0.9955   0.002618    100
cat          exp1_cat2_2_levels                     38.74   0.9950   0.003022    100
cat          exp1_cat3_3_levels                     39.23   0.9951   0.002765    100
cat          exp1_cat4_4_levels                     38.89   0.9948   0.002906    100
cat          exp1_cat5_5_levels                     38.95   0.9947   0.002844    100
cat          exp1_cat6_6_levels                     38.49   0.9939   0.003020    100
cat          noc2f_cat0_0_levels                    38.27   0.9946   0.003164    100
cat          noc2f_cat1_1_levels                    38.95   0.9954   0.002931    100
cat          noc2f_cat2_2_levels                    38.20   0.9946   0.003249    100
cat          noc2f_cat3_3_levels                    38.82   0.9949   0.002982    100
cat          noc2f_cat4_4_levels                    38.43   0.9946   0.003113    100
cat          noc2f_cat5_5_levels                    38.74   0.9946   0.002944    100
cat          noc2f_cat6_6_levels                    38.10   0.9938   0.003198    100
cat          nocfmcmc001op001sc1e5ns_cat0_0_levels    17.40   0.8488   0.042735    100
cat          nocfmcmc001op001sc1e5ns_cat1_1_levels    38.18   0.9931   0.003177    100
cat          nocfmcmc001op001sc1e5ns_cat2_2_levels    38.79   0.9933   0.002852    100
cat          nocfmcmc001op001sc1e5ns_cat3_3_levels    17.40   0.8488   0.042734    100
cat          nocfmcmc001op001sc1e5ns_cat4_4_levels    17.40   0.8488   0.042735    100
cat          nocfmcmc001op001sc1e5ns_cat5_5_levels    17.40   0.8488   0.042736    100
cat          nocfmcmc001op001sc1e5ns_cat6_6_levels    17.40   0.8488   0.042737    100
cat          retryingwarmcleanyesloadvarpathsan_3_levels    39.20   0.9953   0.002818    100
cat          test_cat_padded_3_levels               38.97   0.9952   0.002860    100
diffuse      c2ftest                                32.01   0.9806   0.006258    100
