Found 8 experiments:
  - baseline/exp1_baseline
  - cat/exp1_cat0_0_levels
  - cat/exp1_cat1_1_levels
  - cat/exp1_cat2_2_levels
  - cat/exp1_cat3_3_levels
  - cat/exp1_cat4_4_levels
  - cat/exp1_cat5_5_levels
  - cat/exp1_cat6_6_levels

====================================================================================================
Top 2 Methods by PSNR for Each Image
====================================================================================================
Index    #1 Method                              PSNR1  #2 Method                              PSNR2
143      cat/exp1_cat5_5_levels                 40.12  cat/exp1_cat3_3_levels                 40.10
144      cat/exp1_cat5_5_levels                 37.83  cat/exp1_cat3_3_levels                 37.77
145      cat/exp1_cat3_3_levels                 40.23  cat/exp1_cat4_4_levels                 40.16
146      cat/exp1_cat5_5_levels                 37.20  baseline/exp1_baseline                 37.16
147      cat/exp1_cat5_5_levels                 36.25  baseline/exp1_baseline                 36.17
148      cat/exp1_cat4_4_levels                 38.78  cat/exp1_cat2_2_levels                 38.58
149      cat/exp1_cat2_2_levels                 38.09  cat/exp1_cat5_5_levels                 38.07
150      baseline/exp1_baseline                 37.26  cat/exp1_cat4_4_levels                 36.99
151      cat/exp1_cat5_5_levels                 40.04  cat/exp1_cat2_2_levels                 39.99
152      cat/exp1_cat4_4_levels                 39.17  cat/exp1_cat5_5_levels                 39.06
153      cat/exp1_cat5_5_levels                 39.57  cat/exp1_cat4_4_levels                 39.42
154      baseline/exp1_baseline                 36.52  cat/exp1_cat5_5_levels                 36.37
155      cat/exp1_cat6_6_levels                 34.78  cat/exp1_cat5_5_levels                 34.66
156      cat/exp1_cat5_5_levels                 39.72  cat/exp1_cat2_2_levels                 39.62
157      cat/exp1_cat2_2_levels                 38.83  cat/exp1_cat5_5_levels                 38.69
158      cat/exp1_cat6_6_levels                 36.69  cat/exp1_cat4_4_levels                 36.55
159      cat/exp1_cat1_1_levels                 39.19  cat/exp1_cat5_5_levels                 39.13
160      cat/exp1_cat3_3_levels                 40.45  cat/exp1_cat5_5_levels                 40.41
161      cat/exp1_cat1_1_levels                 39.25  cat/exp1_cat4_4_levels                 39.21
162      cat/exp1_cat5_5_levels                 36.84  cat/exp1_cat0_0_levels                 36.79
163      cat/exp1_cat4_4_levels                 39.35  cat/exp1_cat1_1_levels                 39.29
164      cat/exp1_cat5_5_levels                 38.34  cat/exp1_cat3_3_levels                 38.29
165      cat/exp1_cat4_4_levels                 38.88  cat/exp1_cat5_5_levels                 38.83
166      cat/exp1_cat5_5_levels                 40.03  cat/exp1_cat3_3_levels                 39.91
167      cat/exp1_cat3_3_levels                 39.64  cat/exp1_cat2_2_levels                 39.62
168      cat/exp1_cat1_1_levels                 33.05  cat/exp1_cat4_4_levels                 32.66
169      cat/exp1_cat5_5_levels                 39.90  cat/exp1_cat3_3_levels                 39.88
170      cat/exp1_cat5_5_levels                 39.35  cat/exp1_cat3_3_levels                 39.16
171      cat/exp1_cat4_4_levels                 39.30  cat/exp1_cat5_5_levels                 39.13
172      cat/exp1_cat5_5_levels                 37.15  cat/exp1_cat3_3_levels                 37.06
173      cat/exp1_cat4_4_levels                 36.84  cat/exp1_cat5_5_levels                 36.71
174      cat/exp1_cat5_5_levels                 39.79  cat/exp1_cat2_2_levels                 39.74
175      cat/exp1_cat2_2_levels                 39.85  cat/exp1_cat5_5_levels                 39.85
176      cat/exp1_cat2_2_levels                 33.29  cat/exp1_cat4_4_levels                 33.28
177      cat/exp1_cat3_3_levels                 33.96  cat/exp1_cat4_4_levels                 33.81
